,home_team_id,away_team_id,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,avg_attack_work_rate_difference,avg_defense_work_rate_difference,max_attack_work_rate_difference,max_defense_work_rate_difference,avg_home_players_rating,avg_away_players_rating
395,110.0,9.0,7325.0,8401.0,5246.0,1051.0,2647.0,5385.0,,7171.0,5275.0,9148.0,,8830.0,8099.0,8225.0,1930.0,5454.0,5247.0,1291.0,2614.0,4499.0,7067.0,1187.0,-23.43872136635295,-29.33042834358624,0.0,-125.0,64.38277619024758,75.09767473496574
396,235.0,129.0,3303.0,4213.0,8478.0,5104.0,6354.0,2594.0,4311.0,675.0,541.0,4040.0,992.0,642.0,4086.0,9210.0,,,,2525.0,5313.0,7419.0,4864.0,7936.0,23.570936639118457,16.993801652892564,73.86363636363636,68.18181818181819,59.53971533516988,57.7179548163738
397,12.0,231.0,5882.0,4603.0,735.0,8527.0,773.0,756.0,8870.0,3040.0,290.0,3120.0,2390.0,1691.0,7796.0,6463.0,5096.0,,2092.0,8504.0,3967.0,4288.0,5434.0,5580.0,19.654808792739843,-8.968066648317404,0.0,0.0,76.60033570806299,72.40550293489166
398,259.0,52.0,5643.0,5135.0,4852.0,5339.0,3054.0,4830.0,7675.0,4220.0,,8514.0,4961.0,5909.0,3192.0,7704.0,4653.0,8275.0,,,5181.0,,,7041.0,6.818181818181827,12.5,0.0,62.5,61.44230769230771,60.340261862320695
399,85.0,261.0,7501.0,4384.0,259.0,4569.0,8626.0,727.0,4577.0,4023.0,4576.0,1809.0,6069.0,4372.0,5610.0,1028.0,4101.0,7208.0,8043.0,5880.0,5102.0,4992.0,156.0,4399.0,9.752066115702476,20.691287878787875,0.0,54.6875,65.39598399966047,63.91777692004965
400,173.0,174.0,4795.0,4382.0,8256.0,8089.0,4631.0,4401.0,1200.0,,7776.0,3592.0,5868.0,4337.0,,1132.0,3513.0,1284.0,4289.0,8949.0,2394.0,1140.0,3729.0,2485.0,-14.016491764169771,9.980181067642363,0.0,7.89473684210526,58.60192837465565,61.790428637019545
401,71.0,60.0,3801.0,2931.0,6595.0,8648.0,8330.0,3273.0,369.0,5570.0,1289.0,4470.0,,2751.0,3131.0,6004.0,7505.0,,1735.0,1841.0,6399.0,1799.0,442.0,4713.0,-14.142157249864752,-23.57259423711993,0.0,0.0,69.08380559928547,67.45129634857895
402,58.0,11.0,7502.0,6499.0,2635.0,,8609.0,2955.0,8219.0,8896.0,,761.0,2746.0,6411.0,9278.0,4410.0,6805.0,4907.0,,1867.0,,582.0,6746.0,3002.0,-0.7015859957036525,1.086771884337324,7.478632478632477,-68.18181818181819,66.81572900783425,62.494880670897416
403,9.0,19.0,2259.0,2614.0,8225.0,1930.0,1470.0,,8619.0,7067.0,1291.0,7276.0,4853.0,1174.0,5875.0,9231.0,6467.0,4806.0,5874.0,7933.0,7156.0,3522.0,5811.0,,32.939140205886616,3.1791125541125638,0.0,-7.8125,71.72610676139385,66.52346754552637
404,216.0,169.0,4255.0,7095.0,,3975.0,,6530.0,43.0,8678.0,,,4687.0,,4156.0,,3825.0,772.0,,,,9347.0,5636.0,,-5.724914084597884,7.84045993532159,-17.62820512820511,-72.5,59.47353851681915,56.185064935064936
405,161.0,18.0,5625.0,2143.0,8915.0,4394.0,4316.0,5994.0,1019.0,1288.0,,678.0,1002.0,2231.0,4669.0,3.0,2621.0,3055.0,8072.0,2965.0,6403.0,1318.0,1235.0,9067.0,-6.432393364211549,-0.944510035419114,-6.25,0.0,69.1332924057523,70.03918339119922
406,18.0,91.0,2231.0,4669.0,3.0,2621.0,3055.0,8072.0,2965.0,6403.0,1318.0,1235.0,3070.0,8747.0,2357.0,483.0,4583.0,8970.0,3109.0,3122.0,5851.0,8457.0,4290.0,7329.0,-23.2252728571102,3.4350119577392064,-25.0,11.363636363636374,70.49595389342426,74.93207697886712
407,87.0,204.0,306.0,5982.0,,6070.0,3242.0,4238.0,,,,,,1621.0,1601.0,8595.0,6195.0,6170.0,,2472.0,6333.0,5752.0,5621.0,6814.0,-15.168418537983754,-21.110537190082646,0.0,-96.5909090909091,59.174435635665574,66.32093189731009
408,242.0,236.0,3322.0,7901.0,3687.0,4668.0,5219.0,9064.0,1688.0,1175.0,2219.0,8492.0,512.0,4092.0,233.0,613.0,1297.0,4168.0,,7204.0,6797.0,2511.0,4030.0,2185.0,-16.635101010100996,5.407695374800639,0.0,0.0,63.6436084556638,59.20532041058357
409,235.0,241.0,3303.0,,5104.0,6126.0,4514.0,4213.0,3402.0,675.0,6329.0,4040.0,992.0,667.0,,4683.0,7203.0,3315.0,8070.0,747.0,,705.0,,,13.50524475524476,19.325082811924922,56.25,43.75,59.636225895316805,55.689254385964915
410,100.0,105.0,6210.0,,1992.0,3925.0,8443.0,5814.0,,4619.0,317.0,4720.0,3567.0,4293.0,8446.0,174.0,,4069.0,3836.0,6598.0,8213.0,777.0,,1756.0,2.789256198347104,-5.82386363636364,0.0,-39.0625,63.63220188902006,63.948009957878384
411,7.0,152.0,1341.0,40.0,6914.0,145.0,8620.0,6055.0,4989.0,6604.0,6613.0,5588.0,,8946.0,4366.0,6817.0,7147.0,1311.0,4552.0,8290.0,8636.0,7757.0,6096.0,7593.0,-23.88933222353232,7.50540253121126,-48.913043478260875,26.89393939393939,70.85611315877716,72.92909398876478
412,261.0,59.0,4372.0,5610.0,8130.0,4101.0,7208.0,4565.0,1908.0,5880.0,5102.0,8043.0,4399.0,5306.0,7019.0,2532.0,6841.0,8451.0,9097.0,1582.0,6049.0,1868.0,,3557.0,-18.194731404958688,-11.660640495867767,0.0,-54.6875,63.97289793539794,68.67874890261254
413,6.0,140.0,3170.0,5457.0,6088.0,2178.0,3450.0,3972.0,6420.0,3542.0,790.0,6348.0,5132.0,5427.0,7406.0,9262.0,801.0,5698.0,3358.0,2675.0,4009.0,6214.0,7326.0,3058.0,-8.169012005329122,-42.26370035193564,48.913043478260875,-125.0,64.13399580217762,65.08961309364122
414,215.0,38.0,2716.0,3671.0,7983.0,,2434.0,1669.0,6587.0,8846.0,,984.0,9013.0,9381.0,4187.0,8158.0,6690.0,413.0,2724.0,7215.0,5351.0,5080.0,5421.0,,-12.73882250528672,-3.414438804304524,0.0,81.94117647058823,70.21442320305958,68.68667215137803
415,4.0,70.0,1649.0,,6691.0,2155.0,3591.0,5149.0,3310.0,6978.0,3004.0,6816.0,6247.0,2701.0,9407.0,7138.0,4681.0,2406.0,1670.0,2579.0,4422.0,803.0,9391.0,9175.0,-14.031715123467023,15.487974834202475,0.0,86.1764705882353,68.24582400358264,70.62727720179872
416,233.0,7.0,2026.0,3844.0,7106.0,784.0,7086.0,5428.0,6713.0,1416.0,9205.0,7245.0,,7044.0,6914.0,8216.0,145.0,8140.0,6055.0,4989.0,9167.0,8710.0,6604.0,6613.0,8.32941709839983,19.976887407717456,48.913043478260875,28.84615384615384,70.55095163006928,71.57731156143629
417,58.0,227.0,7502.0,8727.0,6499.0,2635.0,8609.0,8896.0,2926.0,2955.0,843.0,2746.0,761.0,7262.0,643.0,8576.0,2559.0,4149.0,6313.0,9337.0,2990.0,1749.0,5271.0,4508.0,-24.305933037550687,12.918660287081337,-48.076923076923066,0.0,70.43391082601607,66.98675736028677
418,,253.0,,770.0,,2884.0,5768.0,4056.0,,,4114.0,,,6694.0,5850.0,3189.0,8164.0,8145.0,7662.0,652.0,,6207.0,5585.0,4882.0,-34.23659673659675,-15.50689283978054,-62.5,-31.25,57.294871794871796,63.92632705974952
419,101.0,76.0,8789.0,8891.0,6938.0,3205.0,6826.0,3348.0,6318.0,5883.0,9332.0,8965.0,5317.0,949.0,,6177.0,7119.0,,,,1976.0,8048.0,2720.0,6585.0,36.18391591390332,38.82878011651231,55.55555555555554,125.0,79.31620369100565,63.940322713349026
420,253.0,29.0,492.0,5850.0,3189.0,8164.0,8145.0,,7858.0,652.0,5585.0,,3474.0,8956.0,5920.0,5735.0,6389.0,3872.0,6496.0,8271.0,,5442.0,2220.0,8572.0,-25.343875932378126,-11.056200499628588,0.0,-104.16666666666667,61.935982437051955,71.53977571523211
421,14.0,85.0,1023.0,2758.0,8202.0,4375.0,3000.0,5886.0,4873.0,4378.0,332.0,1787.0,2572.0,7501.0,4384.0,259.0,4569.0,8270.0,3806.0,4577.0,,4576.0,4115.0,6069.0,38.97369327243727,10.707292607711281,0.0,0.0,70.67981412526866,65.62556716901636
422,104.0,15.0,6013.0,5941.0,16.0,3560.0,5195.0,5866.0,4379.0,4661.0,3297.0,3421.0,1422.0,173.0,5853.0,484.0,9078.0,5082.0,5996.0,,6346.0,5657.0,,,-35.0068870523416,12.869367474630621,-125.0,38.46153846153845,66.62130973679665,63.51199204835569
423,91.0,101.0,8747.0,8970.0,483.0,4517.0,6584.0,7122.0,6241.0,3109.0,5946.0,7329.0,8457.0,8789.0,3456.0,6938.0,3205.0,9332.0,8245.0,6318.0,5883.0,4457.0,8965.0,894.0,-10.974570769292171,5.430834077664215,0.0,-23.809523809523796,74.93761442773301,76.24538885401435
424,209.0,169.0,5067.0,3759.0,3334.0,1664.0,7078.0,3053.0,1155.0,4824.0,1737.0,4919.0,1408.0,,,,3825.0,772.0,5764.0,,9347.0,,,,18.759731704395733,18.289829406430215,-17.21014492753622,0.0,68.38960725265073,55.05952380952381
425,54.0,41.0,7918.0,8884.0,6640.0,4626.0,1130.0,8879.0,8842.0,5699.0,5395.0,,8126.0,7970.0,3506.0,8953.0,7547.0,3738.0,,,2483.0,2188.0,8673.0,8393.0,50.19439346885001,18.359302181072536,0.0,0.0,79.3874172524694,69.33964496030285
426,229.0,242.0,3689.0,3289.0,1679.0,687.0,5220.0,6670.0,7368.0,7222.0,8486.0,1997.0,4206.0,3322.0,7901.0,989.0,4668.0,5219.0,7784.0,4489.0,1175.0,9255.0,8492.0,512.0,14.016973390777196,14.25598690251799,0.0,105.0,64.60190568586432,62.239341271492314
427,5.0,,158.0,,7477.0,7621.0,4891.0,2078.0,8171.0,,7039.0,4398.0,1015.0,,1167.0,,7373.0,5098.0,,2954.0,,,6762.0,2175.0,3.3199643493761073,-3.09046345811052,0.0,-66.1764705882353,64.2634326457856,58.40614973262032
428,54.0,109.0,7918.0,8884.0,4626.0,1130.0,6640.0,5395.0,1084.0,4534.0,3206.0,8913.0,8126.0,2887.0,,,3742.0,4788.0,1131.0,5010.0,3512.0,2808.0,,1139.0,62.004720238854176,22.916527814804937,39.0625,39.0625,80.26394151767786,62.86411306584399
429,235.0,229.0,3303.0,,8478.0,6126.0,4514.0,675.0,4213.0,6329.0,4040.0,2492.0,5285.0,3689.0,687.0,1679.0,9350.0,3289.0,3135.0,7368.0,557.0,2131.0,,4206.0,1.5523174327002067,-8.919095258808184,28.47222222222223,-61.25,60.05743801652891,65.28534469783273
430,9.0,269.0,8830.0,8099.0,8225.0,1930.0,1470.0,2614.0,5247.0,1291.0,7067.0,7276.0,1968.0,4630.0,,2993.0,3260.0,9263.0,1013.0,994.0,1039.0,3536.0,,9313.0,37.41581484703492,22.289556535968018,0.0,45.45454545454547,74.83941945489231,67.1910725956659
431,202.0,165.0,,570.0,9010.0,4503.0,3657.0,8512.0,3213.0,5330.0,4308.0,8391.0,,,9312.0,2561.0,22.0,9280.0,6236.0,5206.0,6290.0,7231.0,7859.0,,-14.469253942938153,5.163476874003194,-100.0,-19.047619047619037,56.152946127946116,60.78377360513583
432,79.0,121.0,6500.0,8155.0,,4809.0,6456.0,1395.0,1939.0,7905.0,3339.0,,,,882.0,,2865.0,,849.0,247.0,2864.0,3864.0,,515.0,-9.555785123966942,19.156133527791283,-62.5,125.0,60.31748681276193,59.228916916416914
